date;seconds;direction;bid;ask;price
26/03/2001;36972;-1;66.05;66.10;66.05
26/03/2001;36976;-1;66.05;66.10;66.05
26/03/2001;37022;-1;66.05;66.10;66.05
26/03/2001;37024;-1;66.05;66.10;66.05
26/03/2001;37029;-1;66.05;66.10;66.05
26/03/2001;37030;-1;66.05;66.10;66.05
26/03/2001;37039;-1;66.05;66.10;66.05
26/03/2001;37041;-1;66.05;66.10;66.05
26/03/2001;37042;-1;66.05;66.10;66.05
26/03/2001;37047;-1;66.05;66.10;66.05
26/03/2001;37050;-1;66.05;66.10;66.05
26/03/2001;37057;-1;66.00;66.05;66.00
26/03/2001;37064;-1;66.00;66.05;66.00
26/03/2001;37096;-1;65.90;65.95;65.90
26/03/2001;37111;-1;65.90;65.95;65.90
26/03/2001;37123;1;65.85;65.90;65.90
26/03/2001;37131;-1;65.85;65.90;65.77
26/03/2001;37179;-1;65.70;65.90;65.70
26/03/2001;37300;-1;65.70;65.90;65.70
26/03/2001;37331;-1;65.65;65.90;65.65
26/03/2001;37443;1;65.65;65.90;65.90
26/03/2001;37626;1;65.45;65.90;65.90
26/03/2001;37873;-1;65.50;65.80;65.50
26/03/2001;38026;-1;65.55;65.75;65.54
26/03/2001;38058;-1;65.50;65.55;65.50
26/03/2001;38076;-1;65.50;65.55;65.50
26/03/2001;38100;-1;65.50;65.55;65.50
26/03/2001;38138;-1;65.50;65.55;65.50
26/03/2001;38145;-1;65.50;65.55;65.50
26/03/2001;38162;-1;65.45;65.50;65.45
26/03/2001;38184;-1;65.45;65.50;65.45
26/03/2001;38223;-1;65.45;65.50;65.45
26/03/2001;38337;-1;65.45;65.50;65.45
26/03/2001;38339;-1;65.45;65.50;65.45
26/03/2001;38354;-1;65.45;65.80;65.45
26/03/2001;38899;-1;65.50;65.75;65.50
26/03/2001;38964;-1;65.50;65.55;65.50
26/03/2001;39001;1;65.50;65.55;65.55
26/03/2001;39004;-1;65.50;65.55;65.50
26/03/2001;39076;-1;65.50;65.55;65.50
26/03/2001;39083;-1;65.50;65.55;65.50
26/03/2001;39153;-1;65.50;65.55;65.50
26/03/2001;39283;-1;65.50;65.55;65.50
26/03/2001;39410;1;65.50;65.55;65.55
26/03/2001;39413;1;65.50;65.55;65.55
26/03/2001;39550;-1;65.50;65.55;65.50
26/03/2001;39554;-1;65.50;65.55;65.50
26/03/2001;39556;-1;65.50;65.55;65.50
26/03/2001;39778;1;65.50;65.55;65.55
26/03/2001;39949;-1;65.50;65.55;65.50
26/03/2001;39989;1;65.50;65.55;65.55
26/03/2001;40257;1;65.50;65.55;65.55
26/03/2001;40288;-1;65.50;65.60;65.50
26/03/2001;40329;1;65.50;65.60;65.60
26/03/2001;40507;1;65.50;65.55;65.62
26/03/2001;40529;1;65.60;65.70;65.75
26/03/2001;40531;1;65.60;65.75;65.75
26/03/2001;40541;1;65.75;65.80;65.80
26/03/2001;40549;1;65.75;65.80;65.80
26/03/2001;40558;1;65.75;65.80;65.80
26/03/2001;40560;1;65.75;65.80;65.80
26/03/2001;40561;1;65.75;65.80;65.80
26/03/2001;40564;1;65.75;65.80;65.80
26/03/2001;40566;1;65.75;65.80;65.80
26/03/2001;40586;1;65.80;65.85;65.85
26/03/2001;40623;1;65.90;66.00;66.00
26/03/2001;40626;1;65.90;66.00;66.00
26/03/2001;40630;-1;66.00;66.25;66.00
26/03/2001;40634;-1;66.00;66.25;66.00
26/03/2001;40700;-1;66.00;66.20;66.00
26/03/2001;40780;-1;66.05;66.20;66.02
26/03/2001;40886;-1;66.00;66.15;66.00
26/03/2001;40922;-1;66.00;66.10;66.00
