date;time;price;q;direction
19/09/2003;92609;137.9;128;-1
19/09/2003;92651;137.8;1700;-1
19/09/2003;92700;137.9;2920;1
19/09/2003;92700;137.9;70;-1
19/09/2003;92712;137.9;276;-1
19/09/2003;92714;137.9;442;-1
19/09/2003;92715;137.9;500;-1
19/09/2003;92716;137.9;58;-1
19/09/2003;92718;137.9;12;-1
19/09/2003;92719;137.9;804;-1
19/09/2003;92722;138;309;1
19/09/2003;92722;137.9;200;-1
19/09/2003;92723;137.9;62;-1
19/09/2003;92726;137.9;2500;-1
19/09/2003;92740;137.9;897;-1
19/09/2003;92747;137.9;500;-1
19/09/2003;92749;137.9;2500;-1
19/09/2003;92811;137.8;70;-1
19/09/2003;92819;137.8;4218;-1
19/09/2003;92823;137.9;11;1
19/09/2003;92839;137.9;3848;1
19/09/2003;92908;137.8;40;1
19/09/2003;92949;137.7;44;-1
19/09/2003;93010;137.8;64;-1
19/09/2003;93013;137.84128;5000;1
19/09/2003;93015;137.7;170;-1
19/09/2003;93033;137.7;76;-1
19/09/2003;93037;137.8;250;-1
19/09/2003;93040;137.9;44;1
19/09/2003;93041;137.8;250;-1
19/09/2003;93047;137.8;1100;-1
19/09/2003;93053;137.8;400;-1
19/09/2003;93058;137.8;100;-1
19/09/2003;93059;137.8;100;-1
19/09/2003;93100;137.8;170;-1
19/09/2003;93100;137.8;500;-1
19/09/2003;93111;137.8;262;-1
19/09/2003;93112;137.8;505;-1
19/09/2003;93119;137.8;238;-1
19/09/2003;93120;137.9;5000;2
19/09/2003;93128;137.8;122;-1
19/09/2003;93133;137.8;128;-1
19/09/2003;93137;137.8;250;-1
19/09/2003;93141;137.8;250;-1
19/09/2003;93145;137.8;250;-1
19/09/2003;93152;137.8;932;-1
19/09/2003;93152;137.8;993;-1
19/09/2003;93158;137.8;225;-1
19/09/2003;93159;137.8;225;-1
19/09/2003;93204;137.8;25;-1
19/09/2003;93205;137.8;360;-1
19/09/2003;93208;137.9;60;1
19/09/2003;93208;137.8;2500;-1
19/09/2003;93208;137.8;250;-1
19/09/2003;93209;137.8;250;-1
19/09/2003;93300;137.8;48;-1
19/09/2003;93303;137.8;193;-1
19/09/2003;93305;137.8;1250;-1
19/09/2003;93308;137.8;80;-1
19/09/2003;93309;137.8;250;-1
19/09/2003;93312;137.8;804;-1
19/09/2003;93327;137.8;196;-1
19/09/2003;93328;137.8;130;-1
19/09/2003;93328;137.8;250;-1
19/09/2003;93329;137.8;120;-1
19/09/2003;93330;137.8;37;1
19/09/2003;93335;137.8;64;1
19/09/2003;93415;137.8;4763;1
19/09/2003;93438;137.8;70;1
19/09/2003;93440;137.7;45;-1
19/09/2003;93453;137.7;281;-1
19/09/2003;93513;137.7;579;-1
19/09/2003;93515;137.8;64;1
19/09/2003;93527;137.7;169;-1
19/09/2003;93529;137.7;455;-1
19/09/2003;93530;137.7;1200;-1
19/09/2003;93530;137.7;166;-1
19/09/2003;93531;137.7;1000;-1
19/09/2003;93537;137.7;455;-1
19/09/2003;93537;137.7;537;-1
19/09/2003;93543;137.7;322;-1
19/09/2003;93544;137.7;412;-1
19/09/2003;93547;137.7;166;-1
19/09/2003;93547;137.7;205;-1
19/09/2003;93601;137.6;2500;-1
19/09/2003;93603;137.6;600;-1
19/09/2003;93628;137.6;110;-1
19/09/2003;93638;137.7;9;1
19/09/2003;93649;137.7;322;1
19/09/2003;93716;137.7;641;1
19/09/2003;93722;137.7;1668;1
19/09/2003;93738;137.8;50;1
19/09/2003;93753;137.8;26;1
19/09/2003;93807;137.7;1000;1
19/09/2003;93820;137.7;422;1
19/09/2003;93825;137.7;119;1
19/09/2003;93825;137.8;600;1
19/09/2003;93825;137.7;1000;-1
19/09/2003;93903;137.8;755;1
19/09/2003;93924;137.8;120;1
19/09/2003;93932;137.7;680;-1
19/09/2003;94006;137.8;2319;1
19/09/2003;94017;137.8;200;1
19/09/2003;94040;137.7;39;-1
19/09/2003;94101;137.7;1500;-1
19/09/2003;94131;137.8;1375;1
19/09/2003;94203;137.8;1500;1
19/09/2003;94203;137.7;55;-1
19/09/2003;94227;137.7;1000;-1
19/09/2003;94247;137.7;665;1
19/09/2003;94248;137.7;315;1
19/09/2003;94251;137.6;1000;-1
19/09/2003;94311;137.7;2500;1
19/09/2003;94313;137.6;314;-1
19/09/2003;94314;137.6;304;1
19/09/2003;94315;137.6;26;1
19/09/2003;94317;137.7;315;1
19/09/2003;94351;137.7;64;1
19/09/2003;94353;137.7;1215;1
19/09/2003;94354;137.7;455;1
19/09/2003;94404;137.7;2;1
19/09/2003;94446;137.7;64;1
19/09/2003;94446;137.6;55;-1
19/09/2003;94448;137.7;105;1
19/09/2003;94449;137.7;175;1
19/09/2003;94450;137.7;525;1
19/09/2003;94453;137.7;500;1
19/09/2003;94503;137.6;40;-1
19/09/2003;94505;137.6;22;-1
19/09/2003;94507;137.7;1423;1
19/09/2003;94559;137.7;32;-1
19/09/2003;94603;137.7;418;-1
19/09/2003;94623;137.7;410;-1
19/09/2003;94625;137.7;38;1
19/09/2003;94625;137.6;175;-1
19/09/2003;94637;137.6;20;-1
19/09/2003;94651;137.7;280;1
19/09/2003;94653;137.7;64;1
19/09/2003;94656;137.7;280;1
19/09/2003;94702;137.7;22;1
19/09/2003;94704;137.7;134;1
19/09/2003;94705;137.7;258;-1
19/09/2003;94708;137.7;250;-1
19/09/2003;94709;137.7;250;-1
19/09/2003;94710;137.7;250;-1
19/09/2003;94711;137.7;300;-1
19/09/2003;94718;137.7;200;-1
19/09/2003;94721;137.7;1615;-1
19/09/2003;94725;137.7;20;-1
19/09/2003;94728;137.7;231;-1
19/09/2003;94734;137.7;200;-1
19/09/2003;94734;137.7;545;-1
19/09/2003;94735;137.7;153;-1
19/09/2003;94755;137.7;147;-1
19/09/2003;94800;137.7;56;-1
19/09/2003;94802;137.8;30;1
19/09/2003;94804;137.7;228;-1
19/09/2003;94818;137.7;96;-1
19/09/2003;94832;137.7;225;-1
19/09/2003;94839;137.8;2500;1
19/09/2003;94852;137.7;80;-1
19/09/2003;94856;137.8;155;1
19/09/2003;94856;137.7;93;-1
19/09/2003;94905;137.8;79;1
19/09/2003;94910;137.8;257;1
19/09/2003;94932;137.7;225;-1
19/09/2003;94942;137.8;503;1
19/09/2003;94951;137.8;1169;1
19/09/2003;94955;137.8;600;-1
19/09/2003;94959;137.8;50;-1
19/09/2003;95011;137.9;2500;1
19/09/2003;95014;137.8;324;-1
19/09/2003;95016;137.9;63;1
19/09/2003;95022;137.8;200;-1
19/09/2003;95027;137.8;743;-1
19/09/2003;95027;137.8;625;-1
